###################################
# GP Parameters
###################################
num experiment runs = 3
num fitness evals = 2000

###################################
# World Generation Parameters
###################################
width = 30
height = 20
pill density = 20
wall density = 30
num ghosts = 3

num wall carvers = 4
max wall carver travel distance = 10
min wall carver travel distance = 3

use external seed = False
default seed = 123456789

###################################
# Score 
###################################
fruit spawn prob = 0.05
fruit score = 10

###################################
# Timing
###################################
time multiplier = 2

###################################
# Output Files
###################################
log file path = output/med_small_log.txt
world file path = output/highest_score_game_sequence_all_time_step_world_file_med_small.txt

###################################
# Seed Value
###################################
seed = 1541176354.7381287

Result Log

Run 1
1	21
2	26
7	40
24	46
43	50
71	51
135	53
226	54
257	61
595	65
1171	71

Run 2
1	29
10	31
12	52
16	61
90	63
111	72
700	83

Run 3
1	56
240	59
258	62
268	64
437	65
1139	79
